id,name,description,location,price_per_night,image
1,Royal Palace,Royal Palace is popular among families for its spacious rooms and kids' play area. Guests love the hospitality and convenience it offers in Mumbai.,Mumbai,150,1.jpg
2,Tranquil Inn,"Tranquil Inn is perfect for business and leisure travelers, with free Wi-Fi and meeting rooms. Guests love the hospitality and convenience it offers in Delhi.",Delhi,120,2.jpg
3,Grand Suites,Grand Suites offers world-class amenities including a rooftop pool and gourmet dining. Guests love the hospitality and convenience it offers in Bangalore.,Bangalore,130,3.jpg
4,Crystal Inn,"Crystal Inn is perfect for business and leisure travelers, with free Wi-Fi and meeting rooms. Guests love the hospitality and convenience it offers in Chennai.",Chennai,110,4.jpg
5,Royal Manor,Royal Manor has heritage architecture blended with modern comfort and a cozy café. Guests love the hospitality and convenience it offers in Kolkata.,Kolkata,100,5.jpg
6,Serene Inn,"Serene Inn is nestled in a quiet area, ideal for peaceful stays and weekend getaways. Guests love the hospitality and convenience it offers in Hyderabad.",Hyderabad,140,6.jpg
7,Crystal Nest,"Crystal Nest boasts spacious suites, a wellness spa, and on-site fine dining. Guests love the hospitality and convenience it offers in Pune.",Pune,115,7.jpg
8,Serene Resort,"Serene Resort is perfect for business and leisure travelers, with free Wi-Fi and meeting rooms. Guests love the hospitality and convenience it offers in Ahmedabad.",Ahmedabad,125,8.jpg
9,Crystal View,Crystal View offers world-class amenities including a rooftop pool and gourmet dining. Guests love the hospitality and convenience it offers in Jaipur.,Jaipur,135,9.jpg
10,Heritage Palace,Heritage Palace offers luxurious rooms with stunning city views and personalized service. Guests love the hospitality and convenience it offers in Goa.,Goa,160,10.jpg
11,Heritage Nest,"Heritage Nest is nestled in a quiet area, ideal for peaceful stays and weekend getaways. Guests love the hospitality and convenience it offers in Mumbai.",Mumbai,155,11.jpg
12,Grand Resort,Grand Resort is located near major transport hubs and offers airport shuttle services. Guests love the hospitality and convenience it offers in Delhi.,Delhi,130,12.jpg
13,Elegant Haven,"Elegant Haven boasts spacious suites, a wellness spa, and on-site fine dining. Guests love the hospitality and convenience it offers in Bangalore.",Bangalore,120,13.jpg
14,Heritage Haven,"Heritage Haven is perfect for business and leisure travelers, with free Wi-Fi and meeting rooms. Guests love the hospitality and convenience it offers in Chennai.",Chennai,115,14.jpg
15,Urban Palace,Urban Palace offers world-class amenities including a rooftop pool and gourmet dining. Guests love the hospitality and convenience it offers in Kolkata.,Kolkata,110,15.jpg
16,Serene Lodge,Serene Lodge is located near major transport hubs and offers airport shuttle services. Guests love the hospitality and convenience it offers in Hyderabad.,Hyderabad,140,16.jpg
17,Orchid Haven,"Orchid Haven is perfect for business and leisure travelers, with free Wi-Fi and meeting rooms. Guests love the hospitality and convenience it offers in Pune.",Pune,125,17.jpg
18,Golden Manor,Golden Manor offers world-class amenities including a rooftop pool and gourmet dining. Guests love the hospitality and convenience it offers in Ahmedabad.,Ahmedabad,130,18.jpg
19,Orchid Haven,"Orchid Haven is perfect for business and leisure travelers, with free Wi-Fi and meeting rooms. Guests love the hospitality and convenience it offers in Jaipur.",Jaipur,140,19.jpg
20,Orchid Haven,Orchid Haven provides easy access to local attractions and serene garden views. Guests love the hospitality and convenience it offers in Goa.,Goa,165,20.jpg
21,Grand Inn,"Grand Inn boasts spacious suites, a wellness spa, and on-site fine dining. Guests love the hospitality and convenience it offers in Mumbai.",Mumbai,150,21.jpg
22,Grand Retreat,Grand Retreat is popular among families for its spacious rooms and kids' play area. Guests love the hospitality and convenience it offers in Delhi.,Delhi,135,22.jpg
23,Serene Palace,Serene Palace offers luxurious rooms with stunning city views and personalized service. Guests love the hospitality and convenience it offers in Bangalore.,Bangalore,125,23.jpg
24,Golden Palace,"Golden Palace is nestled in a quiet area, ideal for peaceful stays and weekend getaways. Guests love the hospitality and convenience it offers in Chennai.",Chennai,120,24.jpg
25,Tranquil Palace,"Tranquil Palace boasts spacious suites, a wellness spa, and on-site fine dining. Guests love the hospitality and convenience it offers in Kolkata.",Kolkata,115,25.jpg
26,Golden View,Golden View provides easy access to local attractions and serene garden views. Guests love the hospitality and convenience it offers in Hyderabad.,Hyderabad,145,26.jpg
27,Urban View,Urban View is popular among families for its spacious rooms and kids' play area. Guests love the hospitality and convenience it offers in Pune.,Pune,130,27.jpg
28,Grand Suites,Grand Suites has heritage architecture blended with modern comfort and a cozy café. Guests love the hospitality and convenience it offers in Ahmedabad.,Ahmedabad,135,28.jpg
